inst#,actual,predicted,error,prediction,ID
1,3:'vehic wind float',1:build wind float,+,0.971,1
2,3:'vehic wind float',1:build wind float,+,0.738,14
3,1:'build wind float',1:build wind float,,0.604,20
4,2:'build wind non-float',2:build wind non-float,,0.771,21
5,2:'build wind non-float',2:build wind non-float,,0.941,37
6,1:'build wind float',1:build wind float,,0.922,48
7,1:'build wind float',1:build wind float,,0.968,50
8,1:'build wind float',1:build wind float,,0.944,52
9,7:headlamps,7:headlamps,,0.998,54
10,1:'build wind float',3:vehic wind float,+,0.797,57
11,3:'vehic wind float',3:vehic wind float,,0.501,58
12,1:'build wind float',3:vehic wind float,+,0.95,63
13,2:'build wind non-float',1:build wind float,+,0.884,71
14,1:'build wind float',1:build wind float,,0.59,74
15,1:'build wind float',1:build wind float,,0.891,87
16,1:'build wind float',1:build wind float,,0.943,88
17,1:'build wind float',1:build wind float,,0.59,92
18,2:'build wind non-float',1:build wind float,+,0.945,99
19,7:headlamps,7:headlamps,,0.985,102
20,7:headlamps,7:headlamps,,1,103
21,2:'build wind non-float',1:build wind float,+,0.875,106
22,7:headlamps,7:headlamps,,1,107
23,2:'build wind non-float',2:build wind non-float,,1,116
24,1:'build wind float',1:build wind float,,0.877,121
25,1:'build wind float',1:build wind float,,0.975,129
26,2:'build wind non-float',1:build wind float,+,0.929,130
27,2:'build wind non-float',1:build wind float,+,0.939,149
28,1:'build wind float',6:tableware,+,0.971,151
29,5:containers,2:build wind non-float,+,0.991,157
30,2:'build wind non-float',5:containers,+,0.996,160
31,7:headlamps,7:headlamps,,1,169
32,1:'build wind float',1:build wind float,,0.584,174
33,1:'build wind float',1:build wind float,,0.958,177
34,6:tableware,6:tableware,,1,179
35,1:'build wind float',1:build wind float,,0.806,187
36,3:'vehic wind float',1:build wind float,+,0.866,188
37,2:'build wind non-float',1:build wind float,+,0.942,196
38,1:'build wind float',1:build wind float,,0.825,201
39,3:'vehic wind float',1:build wind float,+,0.554,202
40,7:headlamps,7:headlamps,,0.974,206
41,2:'build wind non-float',1:build wind float,+,0.608,210
42,6:tableware,6:tableware,,1,213

