inst#,actual,predicted,error,prediction,ID
1,3:R,3:R,,0.973,12
2,3:R,3:R,,0.671,28
3,3:R,3:R,,0.64,35
4,3:R,3:R,,0.977,38
5,3:R,3:R,,0.993,43
6,3:R,3:R,,0.994,44
7,3:R,3:R,,0.476,53
8,3:R,3:R,,0.638,61
9,3:R,3:R,,0.548,65
10,1:L,1:L,,0.558,85
11,3:R,3:R,,0.731,96
12,3:R,3:R,,0.901,97
13,1:L,1:L,,0.95,100
14,3:R,1:L,+,0.514,107
15,3:R,3:R,,0.644,112
16,1:L,1:L,,0.486,115
17,2:B,3:R,+,0.491,120
18,3:R,3:R,,0.836,122
19,3:R,3:R,,0.942,123
20,1:L,1:L,,0.456,125
21,3:R,3:R,,0.539,127
22,3:R,3:R,,0.84,129
23,3:R,3:R,,0.894,133
24,3:R,3:R,,0.843,136
25,3:R,3:R,,0.974,142
26,3:R,3:R,,0.993,143
27,3:R,3:R,,0.935,146
28,3:R,3:R,,0.983,147
29,1:L,1:L,,0.518,151
30,3:R,3:R,,0.885,159
31,3:R,3:R,,0.974,164
32,3:R,3:R,,0.987,169
33,3:R,3:R,,0.557,170
34,3:R,3:R,,0.872,171
35,1:L,3:R,+,0.479,179
36,3:R,3:R,,0.536,183
37,2:B,3:R,+,0.462,186
38,3:R,3:R,,0.919,197
39,3:R,3:R,,0.97,198
40,1:L,1:L,,0.809,202
41,3:R,3:R,,0.941,219
42,3:R,1:L,+,0.431,221
43,3:R,3:R,,0.924,223
44,3:R,3:R,,0.95,224
45,1:L,1:L,,0.75,232
46,1:L,3:R,+,0.385,233
47,1:L,1:L,,0.814,236
48,3:R,3:R,,0.713,239
49,3:R,3:R,,0.632,242
50,2:B,1:L,+,0.527,246
51,3:R,3:R,,0.677,254
52,3:R,3:R,,0.777,258
53,3:R,3:R,,0.94,267
54,1:L,1:L,,0.506,279
55,2:B,3:R,+,0.467,282
56,3:R,3:R,,0.532,283
57,1:L,1:L,,0.521,285
58,3:R,3:R,,0.964,293
59,3:R,3:R,,0.971,294
60,1:L,1:L,,0.879,306
61,1:L,1:L,,0.646,307
62,3:R,3:R,,0.775,314
63,3:R,3:R,,0.644,317
64,3:R,3:R,,0.916,323
65,3:R,3:R,,0.945,324
66,1:L,1:L,,0.99,325
67,1:L,1:L,,0.98,326
68,2:B,1:L,+,0.566,342
69,3:R,1:L,+,0.465,347
70,3:R,3:R,,0.755,348
71,1:L,1:L,,0.802,358
72,1:L,1:L,,0.67,359
73,1:L,1:L,,0.78,371
74,3:R,3:R,,0.619,373
75,1:L,1:L,,0.695,376
76,3:R,3:R,,0.747,384
77,3:R,3:R,,0.461,386
78,3:R,3:R,,0.97,394
79,1:L,1:L,,0.955,400
80,1:L,1:L,,0.809,402
81,1:L,1:L,,0.789,410
82,3:R,3:R,,0.96,424
83,1:L,1:L,,0.855,429
84,1:L,1:L,,0.948,431
85,1:L,1:L,,0.863,432
86,2:B,3:R,+,0.524,438
87,1:L,1:L,,0.865,440
88,2:B,3:R,+,0.509,442
89,1:L,1:L,,0.765,445
90,1:L,1:L,,0.558,446
91,3:R,3:R,,0.91,449
92,1:L,1:L,,0.993,451
93,1:L,1:L,,0.954,453
94,1:L,1:L,,0.986,456
95,1:L,1:L,,0.962,457
96,1:L,1:L,,0.649,463
97,1:L,1:L,,0.529,464
98,2:B,3:R,+,0.559,468
99,1:L,1:L,,0.935,470
100,1:L,1:L,,0.93,483
101,1:L,1:L,,0.98,486
102,1:L,1:L,,0.781,488
103,1:L,1:L,,0.942,495
104,1:L,1:L,,0.907,500
105,1:L,1:L,,0.787,501
106,1:L,1:L,,0.444,503
107,3:R,3:R,,0.564,516
108,3:R,3:R,,0.957,524
109,1:L,1:L,,0.938,526
110,1:L,1:L,,0.726,540
111,3:R,3:R,,0.922,549
112,1:L,1:L,,0.993,550
113,1:L,1:L,,0.964,552
114,1:L,1:L,,0.902,565
115,1:L,1:L,,0.528,567
116,1:L,1:L,,0.677,571
117,2:B,3:R,+,0.605,572
118,1:L,1:L,,0.997,575
119,1:L,1:L,,0.995,576
120,1:L,1:L,,0.987,585
121,1:L,1:L,,0.928,587
122,1:L,1:L,,0.947,591
123,1:L,1:L,,0.431,593
124,1:L,1:L,,0.958,604
125,1:L,1:L,,0.671,618

