inst#,actual,predicted,error,prediction,ID
1,2:g,2:g,,0.808,6
2,1:b,1:b,,0.987,7
3,2:g,2:g,,0.89,10
4,1:b,1:b,,0.837,15
5,2:g,2:g,,0.956,16
6,1:b,1:b,,0.957,17
7,2:g,2:g,,0.869,18
8,1:b,1:b,,0.929,19
9,2:g,2:g,,0.959,24
10,1:b,2:g,+,0.711,31
11,1:b,1:b,,0.977,59
12,2:g,2:g,,0.966,60
13,2:g,2:g,,0.97,66
14,2:g,2:g,,0.98,78
15,1:b,1:b,,0.545,79
16,1:b,2:g,+,0.955,81
17,2:g,2:g,,0.951,90
18,2:g,2:g,,0.877,92
19,2:g,2:g,,0.958,101
20,1:b,1:b,,0.934,104
21,1:b,1:b,,0.528,110
22,2:g,2:g,,0.937,111
23,1:b,2:g,+,0.9,116
24,1:b,2:g,+,0.744,132
25,2:g,2:g,,0.575,137
26,2:g,2:g,,0.844,139
27,1:b,1:b,,0.994,140
28,2:g,2:g,,0.599,145
29,2:g,2:g,,0.959,147
30,1:b,2:g,+,0.988,148
31,2:g,2:g,,0.978,153
32,1:b,1:b,,0.753,158
33,2:g,2:g,,0.94,163
34,1:b,1:b,,0.992,172
35,2:g,2:g,,0.981,175
36,1:b,1:b,,0.945,180
37,1:b,2:g,+,0.985,196
38,2:g,2:g,,0.953,197
39,1:b,2:g,+,0.583,202
40,1:b,1:b,,0.997,210
41,2:g,2:g,,0.934,219
42,1:b,1:b,,0.977,220
43,1:b,1:b,,0.901,222
44,2:g,2:g,,0.948,223
45,2:g,2:g,,0.961,231
46,1:b,1:b,,1,232
47,2:g,2:g,,0.881,239
48,1:b,1:b,,0.991,248
49,1:b,1:b,,0.697,250
50,2:g,2:g,,0.972,253
51,2:g,2:g,,0.781,254
52,2:g,2:g,,0.876,258
53,2:g,2:g,,0.947,262
54,2:g,2:g,,0.922,265
55,2:g,2:g,,0.562,271
56,2:g,2:g,,0.604,277
57,2:g,2:g,,0.968,288
58,2:g,2:g,,0.879,294
59,2:g,2:g,,0.947,307
60,2:g,2:g,,0.983,311
61,2:g,2:g,,0.977,315
62,2:g,2:g,,0.902,328
63,2:g,2:g,,0.952,329
64,2:g,2:g,,0.941,332
65,2:g,2:g,,0.962,333
66,2:g,2:g,,0.964,334
67,2:g,2:g,,0.963,335
68,2:g,1:b,+,0.659,340
69,2:g,2:g,,0.92,346
70,2:g,2:g,,0.95,347

