inst#,actual,predicted,error,prediction,ID
1,1:Iris-setosa,1:Iris-setosa,,0.999,0
2,1:Iris-setosa,1:Iris-setosa,,0.999,4
3,1:Iris-setosa,1:Iris-setosa,,0.998,10
4,1:Iris-setosa,1:Iris-setosa,,0.998,11
5,1:Iris-setosa,1:Iris-setosa,,0.995,15
6,1:Iris-setosa,1:Iris-setosa,,0.998,16
7,1:Iris-setosa,1:Iris-setosa,,1,22
8,1:Iris-setosa,1:Iris-setosa,,0.998,27
9,1:Iris-setosa,1:Iris-setosa,,0.999,28
10,1:Iris-setosa,1:Iris-setosa,,0.999,32
11,1:Iris-setosa,1:Iris-setosa,,0.999,40
12,1:Iris-setosa,1:Iris-setosa,,0.999,42
13,1:Iris-setosa,1:Iris-setosa,,0.979,44
14,2:Iris-versicolor,2:Iris-versicolor,,0.99,51
15,2:Iris-versicolor,2:Iris-versicolor,,0.996,60
16,2:Iris-versicolor,2:Iris-versicolor,,0.997,65
17,2:Iris-versicolor,2:Iris-versicolor,,0.975,66
18,2:Iris-versicolor,2:Iris-versicolor,,1,67
19,2:Iris-versicolor,2:Iris-versicolor,,0.996,75
20,2:Iris-versicolor,2:Iris-versicolor,,0.999,81
21,2:Iris-versicolor,2:Iris-versicolor,,0.983,85
22,2:Iris-versicolor,2:Iris-versicolor,,0.97,86
23,2:Iris-versicolor,2:Iris-versicolor,,0.999,96
24,3:Iris-virginica,3:Iris-virginica,,1,105
25,3:Iris-virginica,3:Iris-virginica,,1,109
26,3:Iris-virginica,3:Iris-virginica,,1,122
27,3:Iris-virginica,2:Iris-versicolor,+,0.652,133
28,3:Iris-virginica,3:Iris-virginica,,0.957,137
29,3:Iris-virginica,3:Iris-virginica,,0.978,142
30,3:Iris-virginica,3:Iris-virginica,,0.979,146

