inst#,actual,predicted,error,prediction,ID
1,1:1,3:3,+,0.547,4
2,1:1,1:1,,0.852,11
3,1:1,1:1,,0.678,16
4,1:1,1:1,,0.503,17
5,1:1,3:3,+,0.449,18
6,1:1,1:1,,0.842,19
7,1:1,1:1,,0.614,22
8,1:1,2:2,+,0.549,24
9,1:1,1:1,,0.463,28
10,1:1,1:1,,0.489,35
11,1:1,1:1,,0.654,36
12,1:1,1:1,,0.769,38
13,1:1,1:1,,0.956,41
14,1:1,1:1,,0.431,46
15,1:1,1:1,,0.547,50
16,1:1,1:1,,0.479,61
17,1:1,3:3,+,0.566,68
18,1:1,3:3,+,0.443,69
19,1:1,1:1,,0.756,73
20,1:1,1:1,,0.53,74
21,1:1,3:3,+,0.475,75
22,1:1,1:1,,0.56,89
23,1:1,1:1,,0.881,93
24,1:1,1:1,,0.673,108
25,1:1,1:1,,0.574,114
26,1:1,2:2,+,0.384,116
27,1:1,1:1,,0.522,119
28,1:1,1:1,,0.828,127
29,1:1,1:1,,0.54,131
30,1:1,1:1,,0.735,132
31,1:1,2:2,+,0.55,149
32,1:1,3:3,+,0.619,153
33,1:1,1:1,,0.898,154
34,1:1,1:1,,0.547,157
35,1:1,1:1,,0.51,159
36,1:1,1:1,,0.959,162
37,1:1,3:3,+,0.384,164
38,1:1,3:3,+,0.383,167
39,1:1,1:1,,0.473,169
40,1:1,3:3,+,0.636,173
41,1:1,1:1,,0.483,176
42,1:1,1:1,,0.418,180
43,1:1,1:1,,0.716,185
44,1:1,1:1,,0.562,190
45,1:1,1:1,,0.525,191
46,1:1,3:3,+,0.529,193
47,1:1,1:1,,0.809,195
48,1:1,1:1,,0.586,214
49,1:1,3:3,+,0.445,217
50,1:1,1:1,,0.899,222
51,1:1,1:1,,0.605,232
52,1:1,1:1,,0.9,234
53,1:1,2:2,+,0.42,245
54,1:1,3:3,+,0.443,251
55,1:1,1:1,,0.579,257
56,1:1,1:1,,0.519,263
57,1:1,3:3,+,0.461,264
58,1:1,3:3,+,0.463,268
59,1:1,1:1,,0.626,272
60,1:1,1:1,,0.417,278
61,1:1,1:1,,0.668,284
62,1:1,3:3,+,0.698,300
63,1:1,1:1,,0.586,301
64,1:1,3:3,+,0.529,304
65,1:1,1:1,,0.482,313
66,1:1,2:2,+,0.417,320
67,1:1,1:1,,0.874,326
68,1:1,3:3,+,0.584,335
69,1:1,3:3,+,0.418,338
70,1:1,1:1,,0.494,340
71,1:1,3:3,+,0.407,341
72,1:1,1:1,,0.497,356
73,1:1,1:1,,0.728,364
74,1:1,1:1,,0.69,366
75,1:1,3:3,+,0.474,368
76,1:1,3:3,+,0.738,369
77,1:1,3:3,+,0.554,375
78,1:1,1:1,,0.717,383
79,1:1,1:1,,0.494,393
80,1:1,2:2,+,0.424,395
81,1:1,1:1,,0.771,396
82,1:1,1:1,,0.958,399
83,1:1,1:1,,0.813,407
84,1:1,1:1,,0.938,412
85,1:1,3:3,+,0.705,414
86,2:2,2:2,,0.464,417
87,2:2,1:1,+,0.454,419
88,2:2,1:1,+,0.78,421
89,2:2,3:3,+,0.639,431
90,2:2,2:2,,0.433,443
91,2:2,2:2,,0.792,444
92,2:2,1:1,+,0.451,454
93,2:2,2:2,,0.416,456
94,2:2,1:1,+,0.715,468
95,2:2,3:3,+,0.449,470
96,2:2,2:2,,0.557,473
97,2:2,2:2,,0.642,476
98,2:2,2:2,,0.442,483
99,2:2,2:2,,0.447,487
100,2:2,3:3,+,0.542,489
101,2:2,2:2,,0.672,491
102,2:2,2:2,,0.546,495
103,2:2,2:2,,0.392,496
104,2:2,2:2,,0.566,498
105,2:2,1:1,+,0.416,499
106,2:2,1:1,+,0.666,500
107,2:2,2:2,,0.449,505
108,2:2,3:3,+,0.565,511
109,2:2,1:1,+,0.434,512
110,2:2,2:2,,0.719,515
111,2:2,2:2,,0.405,516
112,2:2,3:3,+,0.413,517
113,2:2,3:3,+,0.402,518
114,2:2,2:2,,0.503,521
115,2:2,3:3,+,0.447,537
116,2:2,3:3,+,0.408,546
117,2:2,3:3,+,0.392,547
118,2:2,3:3,+,0.557,559
119,2:2,1:1,+,0.585,568
120,2:2,2:2,,0.503,569
121,2:2,2:2,,0.453,574
122,2:2,2:2,,0.606,580
123,2:2,3:3,+,0.519,587
124,2:2,2:2,,0.548,595
125,2:2,1:1,+,0.651,604
126,2:2,1:1,+,0.507,606
127,2:2,2:2,,0.414,611
128,2:2,2:2,,0.646,616
129,2:2,2:2,,0.504,625
130,2:2,1:1,+,0.478,633
131,2:2,3:3,+,0.502,635
132,3:3,1:1,+,0.456,652
133,3:3,2:2,+,0.857,653
134,3:3,3:3,,0.474,655
135,3:3,3:3,,0.476,656
136,3:3,3:3,,0.436,657
137,3:3,1:1,+,0.43,662
138,3:3,2:2,+,0.822,675
139,3:3,1:1,+,0.451,684
140,3:3,1:1,+,0.577,685
141,3:3,2:2,+,0.535,688
142,3:3,1:1,+,0.652,689
143,3:3,1:1,+,0.654,690
144,3:3,3:3,,0.523,692
145,3:3,3:3,,0.501,694
146,3:3,2:2,+,0.514,696
147,3:3,1:1,+,0.54,703
148,3:3,1:1,+,0.454,717
149,3:3,3:3,,0.392,726
150,3:3,3:3,,0.569,728
151,3:3,3:3,,0.592,732
152,3:3,3:3,,0.456,734
153,3:3,3:3,,0.499,735
154,3:3,2:2,+,0.433,738
155,3:3,3:3,,0.561,740
156,3:3,1:1,+,0.523,750
157,3:3,1:1,+,0.437,753
158,3:3,1:1,+,0.818,758
159,3:3,3:3,,0.461,760
160,3:3,2:2,+,0.476,761
161,3:3,3:3,,0.392,768
162,3:3,3:3,,0.522,773
163,3:3,2:2,+,0.47,784
164,3:3,1:1,+,0.506,786
165,3:3,3:3,,0.487,789
166,3:3,1:1,+,0.401,790
167,3:3,3:3,,0.491,801
168,3:3,1:1,+,0.506,803
169,3:3,1:1,+,0.537,822
170,3:3,3:3,,0.628,825
171,3:3,3:3,,0.564,827
172,3:3,3:3,,0.674,830
173,3:3,3:3,,0.569,832
174,3:3,3:3,,0.546,833
175,3:3,1:1,+,0.56,837
176,3:3,3:3,,0.575,842
177,3:3,3:3,,0.474,848
178,3:3,1:1,+,0.667,850
179,3:3,2:2,+,0.671,851
180,3:3,1:1,+,0.475,853
181,3:3,1:1,+,0.549,866
182,3:3,3:3,,0.626,868
183,3:3,3:3,,0.537,872
184,3:3,2:2,+,0.402,875
185,3:3,1:1,+,0.429,876
186,3:3,1:1,+,0.372,879
187,3:3,1:1,+,0.436,884
188,3:3,3:3,,0.498,890
189,3:3,1:1,+,0.562,895
190,3:3,1:1,+,0.539,902
191,3:3,3:3,,0.441,911
192,3:3,3:3,,0.672,912
193,3:3,2:2,+,0.382,914
194,3:3,2:2,+,0.545,919
195,3:3,3:3,,0.675,920
196,3:3,1:1,+,0.655,927
197,3:3,3:3,,0.475,933
198,3:3,2:2,+,0.551,934
199,3:3,3:3,,0.407,935
200,3:3,1:1,+,0.612,947
201,3:3,2:2,+,0.42,961
202,3:3,1:1,+,0.445,969
203,3:3,1:1,+,0.435,970
204,3:3,3:3,,0.569,971
205,3:3,1:1,+,0.556,976
206,3:3,1:1,+,0.488,977
207,3:3,3:3,,0.518,980
208,3:3,3:3,,0.408,986
209,3:3,1:1,+,0.406,991
210,3:3,1:1,+,0.467,992
211,3:3,3:3,,0.562,996
212,1:1,1:1,,0.654,1000
213,1:1,1:1,,0.824,1002
214,1:1,3:3,+,0.436,1003
215,1:1,1:1,,0.711,1008
216,1:1,1:1,,0.501,1011
217,1:1,3:3,+,0.541,1015
218,1:1,1:1,,0.741,1026
219,1:1,1:1,,0.439,1036
220,1:1,1:1,,0.645,1039
221,1:1,3:3,+,0.598,1062
222,1:1,1:1,,0.82,1066
223,1:1,1:1,,0.535,1069
224,1:1,1:1,,0.858,1070
225,1:1,1:1,,0.519,1072
226,1:1,1:1,,0.835,1077
227,1:1,2:2,+,0.691,1081
228,1:1,1:1,,0.815,1084
229,1:1,1:1,,0.632,1090
230,1:1,1:1,,0.515,1093
231,1:1,1:1,,0.383,1100
232,1:1,3:3,+,0.635,1115
233,1:1,1:1,,0.437,1124
234,1:1,1:1,,0.939,1127
235,1:1,2:2,+,0.692,1138
236,1:1,3:3,+,0.464,1139
237,1:1,1:1,,0.57,1150
238,1:1,3:3,+,0.541,1151
239,1:1,1:1,,0.7,1159
240,1:1,1:1,,0.587,1168
241,1:1,1:1,,0.614,1182
242,1:1,3:3,+,0.459,1191
243,1:1,3:3,+,0.563,1204
244,1:1,1:1,,0.957,1208
245,2:2,2:2,,0.413,1214
246,2:2,1:1,+,0.482,1228
247,2:2,3:3,+,0.499,1229
248,2:2,2:2,,0.389,1232
249,2:2,3:3,+,0.471,1235
250,2:2,3:3,+,0.384,1237
251,2:2,3:3,+,0.537,1243
252,2:2,1:1,+,0.518,1252
253,2:2,3:3,+,0.542,1268
254,2:2,1:1,+,0.486,1273
255,2:2,1:1,+,0.382,1276
256,2:2,3:3,+,0.355,1278
257,2:2,2:2,,0.374,1279
258,2:2,2:2,,0.51,1281
259,2:2,3:3,+,0.493,1287
260,2:2,3:3,+,0.583,1290
261,2:2,3:3,+,0.358,1291
262,2:2,1:1,+,0.628,1292
263,2:2,1:1,+,0.576,1295
264,2:2,1:1,+,0.532,1308
265,2:2,1:1,+,0.491,1311
266,2:2,2:2,,0.596,1313
267,2:2,1:1,+,0.433,1315
268,3:3,3:3,,0.457,1320
269,3:3,3:3,,0.624,1327
270,3:3,1:1,+,0.515,1336
271,3:3,3:3,,0.532,1342
272,3:3,1:1,+,0.425,1345
273,3:3,1:1,+,0.418,1356
274,3:3,3:3,,0.462,1368
275,3:3,3:3,,0.479,1370
276,3:3,1:1,+,0.479,1378
277,3:3,1:1,+,0.486,1379
278,3:3,1:1,+,0.551,1382
279,3:3,1:1,+,0.453,1383
280,3:3,3:3,,0.456,1402
281,3:3,3:3,,0.594,1403
282,3:3,3:3,,0.44,1407
283,3:3,1:1,+,0.363,1408
284,3:3,3:3,,0.638,1410
285,3:3,3:3,,0.502,1415
286,3:3,3:3,,0.464,1430
287,3:3,3:3,,0.438,1432
288,3:3,3:3,,0.418,1438
289,3:3,2:2,+,0.382,1439
290,3:3,3:3,,0.49,1443
291,3:3,2:2,+,0.398,1445
292,3:3,1:1,+,0.491,1448
293,3:3,3:3,,0.648,1453
294,3:3,2:2,+,0.501,1470

