inst#,actual,predicted,error,prediction,ID
1,2:2,2:2,,0.655,3
2,1:1,1:1,,0.63,5
3,3:3,3:3,,0.85,9
4,3:3,3:3,,0.81,10
5,3:3,3:3,,0.69,15
6,2:2,2:2,,0.47,24
7,3:3,2:2,+,0.55,27
8,3:3,2:2,+,0.56,28
9,2:2,1:1,+,0.41,40
10,1:1,1:1,,1,42
11,1:1,2:2,+,0.57,47
12,1:1,2:2,+,0.49,54
13,1:1,3:3,+,0.65,55
14,1:1,2:2,+,0.44,60
15,2:2,2:2,,0.48,62
16,3:3,3:3,,0.65,66
17,2:2,3:3,+,0.52,68
18,3:3,2:2,+,0.65,74
19,2:2,2:2,,0.564,77
20,3:3,3:3,,0.96,81
21,3:3,3:3,,0.74,82
22,3:3,3:3,,0.89,92
23,3:3,3:3,,0.69,94
24,1:1,2:2,+,0.43,97
25,3:3,2:2,+,0.67,101
26,3:3,3:3,,0.79,106
27,2:2,3:3,+,0.78,107
28,2:2,1:1,+,0.62,110
29,2:2,1:1,+,0.98,112
30,2:2,2:2,,0.75,117
31,1:1,1:1,,1,125
32,1:1,1:1,,0.83,126
33,3:3,3:3,,0.91,129
34,2:2,3:3,+,0.45,131
35,1:1,1:1,,0.95,136
36,2:2,2:2,,0.67,137
37,2:2,3:3,+,0.49,138
38,2:2,1:1,+,0.43,145
39,2:2,1:1,+,1,147
40,1:1,1:1,,1,148
41,3:3,3:3,,0.96,164
42,3:3,3:3,,0.65,165
43,3:3,3:3,,0.99,167
44,1:1,3:3,+,0.6,171
45,3:3,3:3,,0.87,181
46,2:2,3:3,+,0.55,182
47,1:1,1:1,,0.73,193
48,3:3,3:3,,0.69,201
49,1:1,2:2,+,0.377,204
50,2:2,3:3,+,0.84,215
51,3:3,2:2,+,0.52,223
52,2:2,1:1,+,0.73,224
53,3:3,3:3,,0.882,228
54,3:3,3:3,,0.86,232
55,2:2,1:1,+,1,235
56,1:1,1:1,,1,236
57,1:1,1:1,,1,242
58,1:1,1:1,,0.63,244
59,1:1,1:1,,0.92,248
60,1:1,1:1,,0.52,249
61,1:1,2:2,+,0.64,250
62,3:3,3:3,,0.92,255
63,3:3,3:3,,0.471,260
64,3:3,1:1,+,0.543,265
65,1:1,1:1,,0.66,267
