inst#,actual,predicted,error,prediction,ID
1,1:1,1:1,,1,1
2,1:1,1:1,,1,4
3,2:2,1:1,+,0.997,11
4,1:1,1:1,,1,16
5,2:2,1:1,+,0.999,19
6,3:3,3:3,,0.999,34
7,1:1,1:1,,0.981,35
8,3:3,3:3,,0.726,36
9,3:3,2:2,+,0.783,38
10,2:2,2:2,,0.526,46
11,1:1,1:1,,0.904,50
12,1:1,1:1,,0.571,64
13,3:3,2:2,+,0.582,75
14,3:3,3:3,,0.703,79
15,3:3,2:2,+,0.552,89
16,3:3,2:2,+,0.855,90
17,3:3,3:3,,0.997,95
18,1:1,1:1,,0.872,98
19,2:2,2:2,,0.88,103
20,3:3,2:2,+,0.864,114
21,3:3,2:2,+,0.569,116
22,1:1,1:1,,1,119
23,3:3,2:2,+,0.878,122
24,1:1,1:1,,1,127
25,3:3,3:3,,0.873,130
26,1:1,1:1,,1,133
27,3:3,2:2,+,0.771,143
28,2:2,1:1,+,0.966,146
29,2:2,3:3,+,0.64,153
30,3:3,2:2,+,0.742,154
31,3:3,3:3,,0.633,160
32,3:3,3:3,,0.656,161
33,1:1,2:2,+,0.657,172
34,3:3,2:2,+,0.514,180
35,3:3,3:3,,0.65,186
36,2:2,3:3,+,0.508,189
37,3:3,3:3,,0.705,190
38,3:3,3:3,,0.96,197
39,2:2,1:1,+,0.99,200
40,3:3,2:2,+,0.844,202
41,2:2,1:1,+,1,206
42,1:1,1:1,,0.979,216
43,2:2,1:1,+,0.852,225
44,3:3,1:1,+,0.998,234
45,1:1,1:1,,1,241
46,2:2,1:1,+,1,245
47,3:3,3:3,,0.69,253
48,3:3,2:2,+,0.749,262
49,1:1,1:1,,1,264
50,2:2,2:2,,0.678,268
51,3:3,2:2,+,0.766,284
52,3:3,3:3,,0.571,293
53,3:3,2:2,+,0.606,301
54,2:2,1:1,+,0.996,317
55,3:3,3:3,,0.912,335
56,3:3,3:3,,0.899,337
57,3:3,3:3,,0.988,356
58,3:3,3:3,,0.996,357
59,3:3,3:3,,0.998,369
60,3:3,3:3,,1,372
61,3:3,3:3,,0.835,379
62,2:2,1:1,+,0.727,391
63,2:2,1:1,+,0.673,392
64,3:3,1:1,+,1,395
65,2:2,2:2,,0.898,396
66,1:1,2:2,+,0.533,397
67,3:3,2:2,+,0.632,399
68,2:2,1:1,+,0.749,400
69,2:2,2:2,,0.869,403
70,3:3,2:2,+,0.749,412
71,3:3,3:3,,0.97,417
72,3:3,3:3,,0.982,452
73,3:3,2:2,+,0.809,455
74,3:3,2:2,+,0.882,459
75,3:3,3:3,,0.974,466
76,3:3,3:3,,0.988,469
77,2:2,2:2,,0.872,470
78,2:2,2:2,,0.82,474
79,3:3,3:3,,0.838,487
80,3:3,2:2,+,0.879,488
81,3:3,3:3,,0.92,492
82,3:3,3:3,,0.964,496
83,2:2,2:2,,0.608,499
84,3:3,3:3,,0.844,502
85,3:3,3:3,,0.895,504
86,2:2,3:3,+,0.726,510
87,2:2,2:2,,0.856,512
88,1:1,1:1,,1,515
89,1:1,1:1,,1,524
90,1:1,1:1,,1,537
91,2:2,1:1,+,1,539
92,3:3,2:2,+,0.56,540
93,1:1,1:1,,1,546
