inst#,actual,predicted,error,prediction,ID
1,2:true,1:false,+,1,3
2,1:false,1:false,,0.956,6
3,1:false,1:false,,0.956,7
4,1:false,1:false,,0.956,8
5,1:false,1:false,,0.956,13
6,1:false,1:false,,0.956,16
7,1:false,1:false,,0.956,17
8,1:false,1:false,,0.956,19
9,1:false,1:false,,0.956,27
10,1:false,1:false,,0.956,34
11,1:false,1:false,,0.956,35
12,2:true,1:false,+,0.956,38
13,1:false,1:false,,0.956,39
14,1:false,1:false,,0.956,43
15,1:false,1:false,,0.956,49
16,1:false,1:false,,0.956,66
17,1:false,1:false,,0.956,67
18,1:false,1:false,,0.956,72
19,1:false,2:true,+,0.75,83
20,1:false,1:false,,0.956,84
21,1:false,1:false,,0.956,93
22,1:false,1:false,,0.956,96
23,1:false,1:false,,0.956,101
24,1:false,1:false,,0.956,114

