inst#,actual,predicted,error,prediction,ID
1,1:won,1:won,,0.567,2
2,1:won,1:won,,0.805,6
3,1:won,1:won,,0.907,8
4,1:won,1:won,,0.917,13
5,1:won,1:won,,0.806,15
6,1:won,1:won,,0.928,20
7,1:won,1:won,,0.974,23
8,1:won,1:won,,0.914,37
9,1:won,1:won,,0.925,39
10,1:won,1:won,,0.977,53
11,1:won,1:won,,0.708,61
12,1:won,1:won,,0.845,65
13,1:won,1:won,,0.949,71
14,1:won,1:won,,0.804,78
15,1:won,1:won,,0.969,83
16,1:won,1:won,,0.929,86
17,1:won,1:won,,0.976,91
18,1:won,2:nowin,+,0.799,99
19,1:won,2:nowin,+,0.694,101
20,1:won,1:won,,0.627,105
21,1:won,1:won,,0.575,107
22,1:won,1:won,,0.849,115
23,1:won,1:won,,0.75,121
24,1:won,1:won,,0.542,132
25,1:won,1:won,,0.934,136
26,1:won,1:won,,0.951,142
27,1:won,1:won,,0.82,145
28,1:won,1:won,,0.905,151
29,1:won,1:won,,0.654,156
30,1:won,1:won,,0.915,158
31,1:won,1:won,,0.717,159
32,1:won,1:won,,0.946,169
33,1:won,1:won,,0.987,171
34,1:won,1:won,,0.798,182
35,1:won,1:won,,0.951,185
36,1:won,1:won,,0.786,187
37,1:won,1:won,,0.781,191
38,1:won,1:won,,0.946,198
39,1:won,1:won,,0.897,205
40,1:won,1:won,,0.842,207
41,1:won,1:won,,0.811,209
42,1:won,1:won,,0.926,213
43,1:won,1:won,,0.912,215
44,1:won,1:won,,0.597,217
45,1:won,1:won,,0.969,222
46,1:won,1:won,,0.955,230
47,1:won,1:won,,0.95,244
48,1:won,2:nowin,+,0.52,250
49,1:won,1:won,,0.832,258
50,1:won,1:won,,0.733,265
51,1:won,1:won,,0.797,269
52,1:won,1:won,,0.855,271
53,1:won,1:won,,0.816,273
54,1:won,1:won,,0.781,274
55,1:won,1:won,,0.868,277
56,1:won,1:won,,0.884,286
57,1:won,1:won,,0.854,287
58,1:won,1:won,,0.891,292
59,1:won,2:nowin,+,0.69,294
60,1:won,1:won,,0.863,300
61,1:won,1:won,,0.807,305
62,1:won,1:won,,0.713,306
63,1:won,2:nowin,+,0.53,308
64,1:won,1:won,,0.876,310
65,1:won,1:won,,0.845,311
66,1:won,1:won,,0.744,316
67,1:won,1:won,,0.918,323
68,1:won,1:won,,0.827,328
69,1:won,1:won,,0.915,334
70,1:won,1:won,,0.938,338
71,1:won,2:nowin,+,0.677,339
72,1:won,1:won,,0.664,348
73,1:won,1:won,,0.509,352
74,1:won,1:won,,0.697,363
75,1:won,1:won,,0.776,371
76,1:won,1:won,,0.625,374
77,1:won,1:won,,0.623,376
78,1:won,2:nowin,+,0.543,377
79,1:won,2:nowin,+,0.776,380
80,1:won,2:nowin,+,0.768,382
81,1:won,2:nowin,+,0.632,386
82,1:won,1:won,,0.769,390
83,1:won,1:won,,0.728,394
84,1:won,2:nowin,+,0.638,398
85,1:won,1:won,,0.743,401
86,1:won,2:nowin,+,0.645,409
87,1:won,1:won,,0.845,413
88,1:won,1:won,,0.832,421
89,1:won,1:won,,0.763,425
90,1:won,1:won,,0.876,427
91,1:won,1:won,,0.744,429
92,1:won,1:won,,0.607,431
93,1:won,1:won,,0.86,444
94,1:won,1:won,,0.747,447
95,1:won,1:won,,0.874,453
96,1:won,2:nowin,+,0.766,458
97,1:won,2:nowin,+,0.619,465
98,1:won,1:won,,0.654,476
99,1:won,1:won,,0.527,483
100,1:won,2:nowin,+,0.824,491
101,1:won,2:nowin,+,0.621,500
102,1:won,1:won,,0.704,503
103,1:won,1:won,,0.827,505
104,1:won,2:nowin,+,0.753,514
105,1:won,1:won,,0.719,519
106,1:won,1:won,,0.895,526
107,1:won,1:won,,0.962,529
108,1:won,1:won,,0.929,534
