inst#,actual,predicted,error,prediction,ID
1,3:3,3:3,,0.762,1
2,3:3,3:3,,0.762,4
3,3:3,3:3,,0.762,13
4,3:3,3:3,,0.762,14
5,3:3,3:3,,0.762,20
6,3:3,3:3,,0.762,21
7,3:3,3:3,,0.762,27
8,3:3,3:3,,0.762,32
9,3:3,3:3,,0.762,34
10,5:5,3:3,+,0.762,35
11,3:3,3:3,,0.762,40
12,3:3,3:3,,0.762,47
13,3:3,3:3,,0.762,52
14,3:3,3:3,,0.762,58
15,3:3,3:3,,0.762,62
16,3:3,3:3,,0.762,64
17,3:3,3:3,,0.762,71
18,3:3,3:3,,0.762,80
19,3:3,3:3,,0.762,85
20,3:3,3:3,,0.762,87
21,3:3,3:3,,0.762,91
22,3:3,3:3,,0.762,95
23,5:5,3:3,+,0.762,98
24,2:2,3:3,+,0.762,99
25,3:3,3:3,,0.762,102
26,3:3,3:3,,0.762,105
27,3:3,3:3,,0.762,106
28,3:3,3:3,,0.762,121
29,2:2,3:3,+,0.762,128
30,3:3,3:3,,0.762,130
31,3:3,3:3,,0.762,134
32,5:5,3:3,+,0.762,138
33,3:3,3:3,,0.762,156
34,3:3,3:3,,0.762,159
35,5:5,3:3,+,0.762,160
36,3:3,3:3,,0.762,161
37,3:3,3:3,,0.762,166
38,3:3,3:3,,0.762,170
39,3:3,3:3,,0.762,187
40,6:U,3:3,+,0.762,189
41,5:5,3:3,+,0.762,191
42,3:3,3:3,,0.762,200
43,3:3,3:3,,0.762,201
44,3:3,3:3,,0.762,205
45,3:3,3:3,,0.762,206
46,3:3,3:3,,0.762,214
47,3:3,3:3,,0.762,216
48,3:3,3:3,,0.762,217
49,3:3,3:3,,0.762,230
50,3:3,3:3,,0.762,240
51,3:3,3:3,,0.762,241
52,3:3,3:3,,0.762,242
53,3:3,3:3,,0.762,243
54,3:3,3:3,,0.762,251
55,3:3,3:3,,0.762,252
56,3:3,3:3,,0.762,269
57,3:3,3:3,,0.762,270
58,3:3,3:3,,0.762,273
59,6:U,3:3,+,0.762,276
60,1:1,3:3,+,0.762,288
61,3:3,3:3,,0.762,295
