inst#,actual,predicted,error,prediction,ID
1,1:won,1:won,,1,3
2,1:won,1:won,,0.96,5
3,1:won,1:won,,0.958,9
4,1:won,1:won,,0.95,10
5,1:won,1:won,,1,24
6,1:won,1:won,,0.974,26
7,1:won,1:won,,1,27
8,1:won,1:won,,0.971,28
9,1:won,1:won,,0.95,33
10,1:won,1:won,,0.97,40
11,1:won,1:won,,0.97,41
12,1:won,1:won,,0.99,42
13,1:won,1:won,,0.91,47
14,1:won,1:won,,0.993,54
15,1:won,1:won,,0.899,55
16,1:won,1:won,,1,60
17,1:won,1:won,,0.94,62
18,1:won,1:won,,0.98,66
19,1:won,1:won,,0.98,68
20,1:won,1:won,,0.97,72
21,1:won,1:won,,0.93,74
22,1:won,1:won,,0.94,77
23,1:won,2:nowin,+,0.65,79
24,1:won,2:nowin,+,0.72,81
25,1:won,1:won,,0.78,82
26,1:won,1:won,,0.99,92
27,1:won,1:won,,0.96,94
28,1:won,1:won,,0.97,97
29,1:won,1:won,,0.96,106
30,1:won,1:won,,0.97,110
31,1:won,1:won,,0.84,112
32,1:won,1:won,,0.98,117
33,1:won,1:won,,1,125
34,1:won,1:won,,1,126
35,1:won,1:won,,0.97,129
36,1:won,1:won,,0.98,131
37,1:won,1:won,,1,137
38,1:won,1:won,,0.978,138
39,1:won,1:won,,1,147
40,1:won,1:won,,0.97,148
41,1:won,1:won,,1,164
42,1:won,1:won,,1,165
43,1:won,1:won,,0.998,167
44,1:won,1:won,,1,181
45,1:won,1:won,,0.887,193
46,1:won,1:won,,0.97,204
47,1:won,1:won,,0.99,223
48,1:won,1:won,,0.99,224
49,1:won,1:won,,0.74,228
50,1:won,1:won,,0.74,232
51,1:won,1:won,,1,235
52,1:won,1:won,,0.99,236
53,1:won,1:won,,1,242
54,1:won,1:won,,0.93,248
55,1:won,1:won,,0.97,249
56,1:won,1:won,,0.87,255
57,1:won,1:won,,0.95,260
58,1:won,1:won,,0.99,267
59,1:won,1:won,,0.95,280
60,1:won,1:won,,1,285
